#P'#P#B#T#S#X#L#Q#F#H#C#A#K#E#R#U#V
0# #1#2# #7# # # #3# # # # # # # # 
140# # # # # # # # # # # # # # # # # 
141# # # # # # # # # # # # # # # # # 
142# # # # # # # # # # # # # # # # # 
143# # # # # # # # # # # # # # # # # 
144# # # # # # # # # # # # # # # # # 
145# # # # # # # # # # # # # #157#40#41#42
146# # # # # # # # # # # # # # # # # 
147# # # # #158# # # # # # # # # # # # 
148# # # # # # # # # # # # # # # # # 
149# # # # # # # # # # # # # # # # # 
150# # # # # # # # # # # # # # # # # 
151# # # # # # # # # # # # # # # # # 
152# # # # # # # # # # # # # # # # # 
153# # # # # # # # # # # # # # # # # 
154# # # # # # # # # # # # #164# # # # 
155# # # # # # # # # # # # # # # # # 
156# # # # # # # # # # # # # # # # # 
157# # # # # # # # # # # # # # # # # 
158# # # # # # # # # # # # # # # # # 
159# # # # # # # # # # # # # # # # # 
160# # # # # # # # # # # # # # # # # 
161# # # # # # # # # # # # # # # # # 
162# # # # # # # # # # # # # # # # # 
163# # #50# #54# # # # # #168# # # # # # 
164# # # # # # # # # # # # # # # # # 
165# # # #169# # # # # # # # # # # # # 
166# # # # # # # # # # # # # # # # # 
167# # # # # # # # # # # # # #170#40#41#42
168# # # # # # # # # # # # # # # # # 
169# # # # # # # # # # # # # # # # # 
170# # # # # # # # # # # # # # # # # 
171# # # # # # # # # # # # # # # # # 
172# # # # # # # # # # # # #174# # # # 
173# # # # # # # # # # # # # # # # # 
174# # # # # # # # # # # # # # # # # 
